2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,
0.0,2.9706740000000003,12.13237,619.738,0.0,270.1238,3.0,817.4134,43.91361,0.0,0.0,0.0,0.0,11.18793,9.416592999999999,0.0,0.0
4277.811,2613.819,1627.0220000000002,25395.58,4794.923,123.2844,431.8608,0.0,813.0922,0.0,0.0,40.58775,72.35846,342.5876,382.7278,376.7664,887.4151
-5231686.46634353,-7000538.23238192,-5249366.9283,-6391362.54099766,-5275650.11338088,-6647789.38378381,-4962326.27356283,-6372600.02787537,-6483938.66207547,-3538094.29185306,-6604652.91732409,-5654958.31045227,-3924013.55761453,-4033073.6852768995,-3560900.49624783,-4844454.62298977,-1791590.50525774
0.0,53.412040000000005,0.0,122.1962,3.859634,34.518503,681.26,27.97672,406.97699,29.298009999999998,18.75471,86.91665,739.3741100000001,171.90918,53.7247,24.7748,0.0
29118.595999999998,38910.793181,20921.13589,38623.368839999996,46489.23829000001,31176.447575,63478.31662,130926.46411000002,205169.79947,112084.18455999998,325932.64724,130214.19050000001,463106.4202,206547.967,250948.30019999997,323311.28430000006,23535.7082
0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989662,0.0
,,,,,,,,,,,,,,,,
5.030517,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016871
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.268934,0.0,0.0,0.0,0.0,358.3437,669.6712,793.7135,2164.126,1709.809,2626.139,5957.026,6309.983,5021.462,3100.703,4560.766,0.4345463
0.0,0.0,864.5231,0.0,0.0,0.0,41.0,1960.889,1068.928,3104.5429999999997,4662.2864,635.6569,1415.994,493.1919,90.91176,322.5361,0.0
