Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Norway,3.432272,1.4853370000000001,63.892275,489.278106,8.599884,5.648013,4578.801822,0,2414.937,515.101425,20.83857,49.127959999999995,116.07496,41.79083,0,0,2.0362150000000003
Nicaragua,0,0,0,0,0,0,90,0,91,0,0,0,0,0,0,0,0
New Zealand,0,0,0,10.183019999999999,69.47341,3.207832,235.8285,4.839533,109.64255999999999,18.64419,36.16276,60.45828,877.30958,17.900679999999998,12.79159,6.193699,0
The former Yugoslav Republic of Macedonia,0,0,2149971.515861,0,0,0,149154.7,235733.3,466043.41341,0,0,434.8235,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,87,0,88,0,0,0,0,0,0,0.3414185,0
Netherlands,5008315.7095454,163825.91392,265061.04335,28303.4561,19714801.471000005,3887.80132,302264.2601000001,70319.16589,47706.166229999995,28695.508499,7263.99454,20197.974775000002,7238.632894,2766927.1625,111648.78496500001,21230.79157,1035997.9420992
Republic of Moldova,0,43.12,0,16.25347,0,0,83,6.7670710000000005,1133.0832827,3252.4674,474.8329,311.2437,0,0,3094.13263,0.3414185,0
Mozambique,392.8602,2732.6290000000004,4459.247,1525.703,183.2455,73.97064,2362.925,2163.19,940.7447,260.4264,724.1325,17876.33,58772.97646,4359.304303,4610.63072,31207.194199999998,81.4973
Morocco,1.144091,71396.05,0,20443.02,0,0,80,5452.490400000001,83.822331,0,4380.3604000000005,22684.64,7.745225,225.56045,16796.806999999997,24598.595999999998,0.6787384
Mexico,0,0,27339.57,14.67666,26702.65,20244.75,176.32795,27.981759999999998,124.20770999999999,0,0,0,0,0,191.3639,0,0
Mauritius,60.3662,0,0,132.3792,0,0,169.8915,16.938370000000003,336.23602,154.4804,41.67714,650.66787,291.3501,6.712756,117.6827,343.7503,24.20245
Malta,45418.64,0,0,0,50.87631,0,76,0,77,0,0,15.56218,0,0,28.249779999999998,0,37948.55
Malaysia,140369.229,117613.2131,181150.799,97739.65938,78471.9967,98611.89474,110717.51199999999,18223.9042,112783.64826,44250.9323,826624.6227,412543.9493,1479325.28527,204078.0492,14245.1555,16286.532790000001,48153.560999999994
"China, Macao SAR",0,0,0,0,0,0,72,0,72,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,2.420577,71,0,71,0,0.8210825,5200.769,0,0,0,0,0
Lebanon,0,29.444779999999998,19056.491471499998,13634.62,19452.48,0,71.869995,0,78.111653,50963.99,5.747578,6.223062,2.2129220000000003,4761.004474,8013.5276672,20583.671418500002,0
Latvia,0,0,0,0,0,0,68,0,67,1.936818,10913.95,0,0,0,0,0,0
Kuwait,0,0,0,57.70377,17412.482879999996,134.72899999999998,216.825,128.2476,7129.104520000001,8123.887670000001,47.928709999999995,245.5395,193.6302,17612.054200000002,191.8739,8869.6632,0
Republic of Korea,12576.29,0,0,93555.28,9918.5268,619.1116,347.671,0,65,0,75.01884,4.345833,6316.823619999999,8784.85,15930.65,5708.12825,5042.1759999999995
Democratic People's Republic of Korea,0,0,0,0,1929.817,0,65,0,64,0,0,0,0,0,0,6460.028,0
Cambodia,0,0,0,0,0,0,64,0,842.6899,0,0,0,0,0,0,0,0
Kenya,65913.2,14851.24,4519.5070000000005,6.788678999999999,5340.53,0,3625.228,393.3073,62,4.155556,0,4.345833,0,5825.481,0.0,9.290548,13673.44
Jordan,13079.34,0,0,9060.702,5984.340999999999,0,61,0,173.9845,106593.02404,2.463248,17.383329999999997,0,33.56378,5932.362,3.072767,5243.8640000000005
Japan,103241.86,24065.573,92260.325,55150.14,45602.46174,3.207832,95.958,11404.713864000001,6233.23776,29098.564,211.18173000000002,274.714337,285.5086,175.814184,878.244882,101.55998000000001,40133.968
Jamaica,0,0,0,0,0,0,59,0,59,0,0,0,0,0,0,0,0
Kazakhstan,1920750,0,0,28.092940000000002,0,322063.93150999997,92311.66,2955000,58,0,0,0,0,0,1303.521,141.6012,24783.87
Italy,200586.59105999998,168854.9346,211063.136,207828.58299999998,318631.55500000005,350905.244,350594.65778999997,34843422.3469,816462.7011200001,937391.7300000001,660901.39833,1140804.03635,1711774.4360000002,906393.7479000002,552832.29534,551440.7918999998,54557.667539999995
Israel,475106.34,111477.9,52035.46,61803.41,90353.68,15268.64,56,7103.063,4071.20478,0,0,23.902079999999998,0,109165.7,26.313240000000004,13.99816,126549.01999999999
Ireland,352368.206,6805.78,4192.945299999999,0,0,0,55,185.6482,2223.4137459999997,0,2071.7976,29278.16,0,0,0,0,71352.755
Iran (Islamic Republic of),0,0,76420.49,220995.3,0,0,53,300041.88,361180.3,342036.9,134147.5,70529.98,81341.63,16185.27,50548.17,179936.9,0
Indonesia,197229.29,38876.908,28349.69,163230.9,185491.2,121318.54800000001,42737.0033,114220.5,108686.48999999999,627547.3999999999,688985.6247999999,60550.32886,325881.84,173713.53,11816.17,519.781,69719.48999999999
India,0,0,0,44.88678,0,0.0,51,0,51,0.3229866,0,61.67126999999999,0,10485.87,2607.845,0.24471199999999999,0
Iceland,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0
Croatia,581267.117,11386.70977,0,1182.0429960000001,16.95877,20.18393,165.9801,4.164351,363.5403,2.230542,0.9866573000000001,228.13547499999999,107.813256,225.1778,418.8261,3596.4405172,153164.7399
Hungary,1128.172,193169.9,49039.2,17658.81,2.345423,3294.222,2366.7054500000004,396389.39204,1046749.51228,212046.59988,202179.331908,880787.14399,342854.648765,111892.68126,320613.311263,124727.78828,942.6193
"China, Hong Kong SAR",0,0,1686.366,0,0,667.3066,74.15789000000001,0,49.679347,0,4.167714,6.518749,10.85777,143.52037900000002,2.558319,7.511207000000001,0
